bill_code,name,category_id,barcode,tax_id,mrp,selling_price,cost_price,landing_cost,stock_qty
A08700025,BINDHI MRP 35,FANCY,9000096220017,GST 5%,35,25,6.5,6.5,-7
A08710020,BINDHI MRP 25,FANCY,9000096230016,GST 5%,25,20,6,6,-9
A08720030,BINDHI MRP 35,FANCY,9000096240015,GST 5%,35,30,9,9,-3
A08730050,CLIP MRP 70,FANCY,9000096250014,GST 5%,70,50,16.5,16.5,-2
A08740050,CLIP MRP 70,FANCY,9000096260013,GST 5%,70,50,20,20,-2
A08750080,CLIP MRP 100,FANCY,9000096270012,GST 5%,100,80,36,36,0
A08760070,CLIP MRP 80,FANCY,9000096280011,GST 5%,80,70,30,30,0
A08770080,CLIP MRP 100,FANCY,9000096290010,GST 5%,100,80,40,40,0
A08780075,CLIP MRP 100,FANCY,9000096300016,GST 5%,100,75,35,35,0
A08790025,CLIP MRP 35,FANCY,9000096310015,GST 5%,35,25,10,10,0
A08800025,CLIP MRP 30,FANCY,9000096320014,GST 5%,30,25,8.5,8.5,0
A08810020,CLIP MRP 25,FANCY,9000096330013,GST 5%,25,20,7.5,7.5,-3
A08820020,CLIP MRP 25,FANCY,9000096340012,GST 5%,25,20,11,11,0
A08830020,CLIP MRP 30,FANCY,9000096350011,GST 5%,30,20,8,8,-1
A08840025,CLIP MRP 36,FANCY,9000096360010,GST 5%,36,25,9,9,-1
A08850025,CLIP MRP 30,FANCY,9000096370019,GST 5%,30,25,10.5,10.5,-1
A08860025,CLIP MRP 32,FANCY,9000096380018,GST 5%,32,25,11,11,0
A08870012,CLIP MRP 18,FANCY,9000096390017,GST 5%,18,12,5,5,0
A08880050,CLIP MRP 60,FANCY,9000096400013,GST 5%,60,50,18,18,0
A08890018,CLIP MRP 25,FANCY,9000096410012,GST 5%,25,18,6,6,-1
A08900006,CLIP MRP 9,FANCY,9000096420011,GST 5%,9,6,2.5,2.5,-4
A08910004,CLIP MRP 7,FANCY,9000096430010,GST 5%,7,4,1.75,1.75,-6
A08920070,CLIP MRP 80,FANCY,9000096440019,GST 5%,80,70,33,33,0
A08930050,CLIP MRP 60,FANCY,9000096450018,GST 5%,60,50,23,23,-1
A08940065,CLIP MRP 85,FANCY,9000096460017,GST 5%,85,65,30,30,-1
A08950060,CLIP MRP 80,FANCY,9000096470016,GST 5%,80,60,28,28,0
A08960015,CLIP MRP 20,FANCY,9000096480015,GST 5%,20,15,6.5,6.5,-1
A08970020,CLIP MRP 25,FANCY,9000096490014,GST 5%,25,20,8.75,8.75,-1
A08980300,MALA MRP 380,FANCY,9000096500010,GST 5%,380,300,140,140,0
A08990022,TOKYO MRP 30,FANCY,9000096510019,GST 5%,30,22,8.4,8.4,-9
A09000024,TOKYO MRP 30,FANCY,9000096520018,GST 5%,30,24,9,9,0
A09010020,CLIP MRP 30,FANCY,9000096530017,GST 5%,30,20,9,9,-2
A09020012,CLIP MRP 15,FANCY,9000096540016,GST 5%,15,12,4,4,-2
A09030020,KEY CHAIN MRP 30,FANCY,9000096550015,GST 5%,30,20,8,8,0
A09040022,BANGLE MRP 31,FANCY,9000096560014,GST 5%,31,22,11,11,0
A09050015,VALA MRP 20,FANCY,9000096570013,GST 5%,20,15,6.5,6.5,-1
A09060022,SLIDE MRP 32,FANCY,9000096580012,GST 5%,32,22,8,8,0
A09070020,SLIDE MRP 27,FANCY,9000096590011,GST 5%,27,20,6.5,6.5,-2
A09080012,SLIDE MRP 19,FANCY,9000096600017,GST 5%,19,12,5,5,0
A09090025,RING MRP 30,FANCY,9000096610016,GST 5%,30,25,10,10,0
A09100050,KALTHALA MRP 65,FANCY,9000096620015,GST 5%,65,50,21,21,0
A09110040,KALTHALA MRP 60,FANCY,9000096630014,GST 5%,60,40,18,18,0
A09120006,MINCHI MRP 10,FANCY,9000096640013,GST 5%,10,6,2,2,-18
A09130040,KEYCHAIN MRP 50,FANCY,9000096650012,GST 5%,50,40,20,20,-1
A09140032,KEYCHAIN MRP 50,FANCY,9000096660011,GST 5%,50,32,15,15,0
A09150170,PUMP MRP 200,FANCY,9000096670010,GST 5%,200,170,82.17,82.17,-3
A09160050,FANCY CLIP MRP 60,FANCY,9000096680019,GST 5%,60,50,20,20,0
A09170030,CLIP MRP 40,FANCY,9000096690018,GST 5%,40,30,12,12,-1
70510165,LOREAL CASTING MRP 169,COSMETICS,8901526573738,GST 18%,169,165,130.2,130.2,4
70520580,LOREAL EXCELLANCE MRP 590,COSMETICS,8901526100606,GST 18%,590,580,454.55,454.55,1
70530310,LOREAL SKIN PERFECT MRP 315,COSMETICS,8901526104673,GST 18%,315,310,236.24,236.24,1
70540450,SPEEDY COLOUR MRP 450,COSMETICS,4987205934582,GST 18%,450,450,331.61,331.61,-1
70550065,GARNIER FACE WASH MRP 65,COSMETICS,8901526207480,GST 18%,65,65,41.25,41.25,3
70560290,FIT ME FOUNDATION MRP 299,COSMETICS,6902395722403,GST 18%,299,290,224.24,224.24,14
