suppliername,invoiceno,taxtype,gst(y/n),itemname,qty,cp,mrp,sp,framemultipletype(y/n),frametype,framecolour,framesize,framemodel
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CHARMANT,1,200,7100,7100,N,SUPRA,NONE,NONE,CH16037
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CARRERA,1,200,7900,7900,N,METAL FULL,NONE,NONE,8848
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CARRERA,1,200,7900,7900,N,METAL FULL,NONE,NONE,210
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,WALNUT,1,200,3250,3250,N,SUPRA,NONE,NONE,SA1111
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MOLESKINE,1,200,6990,6990,N,METAL FULL,NONE,NONE,MO2103
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OROMA,3,200,850,850,N,RIMLESS,NONE,NONE,R0004
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,RE-EYE,1,200,1250,1250,N,RIMLESS,NONE,NONE,3002
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SUN FIRE,4,200,990,990,N,RIMLESS,NONE,NONE,S005
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SUN FIRE,1,200,950,950,N,RIMLESS,NONE,NONE,99904
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,FIRST STREET,10,200,1250,1250,N,RIMLESS,NONE,NONE,78103
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SMALLISION,3,200,850,850,N,RIMLESS,NONE,NONE,6304
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,IMPTUS EYEWEAR,3,200,3200,3200,N,RIMLESS,NONE,NONE,9009
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MORANGIE,5,200,1950,1950,N,RIMLESS,NONE,NONE,1626
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,COOPER PLUS,3,200,3190,3190,N,RIMLESS,NONE,NONE,1008
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,TOM HARDY,3,200,1250,1250,N,RIMLESS,NONE,NONE,63102
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MARABOOS,1,200,1250,1250,N,RIMLESS,NONE,NONE,MB001
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,MAGIC BOSS,2,200,1250,1250,N,RIMLESS,NONE,NONE,32014
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,SUNFIRE,1,200,1250,1250,N,RIMLESS,NONE,NONE,S3468
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,OXSIVER,1,200,910,910,N,RIMLESS,NONE,NONE,R0004
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VEVYL,1,200,1050,1050,N,RIMLESS,NONE,NONE,9013
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,AXIS,1,200,950,950,N,RIMLESS,NONE,NONE,E141
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CHOY,1,200,850,850,N,RIMLESS,NONE,NONE,8003
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,VOICE,13,200,550,550,N,SUPRA,NONE,NONE,9372
OLD_STOCK_SUPPLIER,20-20-01,Inclusive,Y,CENTER CLUB,4,200,890,890,N,METAL FULL,NONE,NONE,3265
